ayahRef,wordId,word,translation,highlight
4:78,,وَإِن تُصِبۡهُمۡ حَسَنَةٞ يَقُولُواْ هَٰذِهِۦ مِنۡ عِندِ ٱللَّهِۖ,"When a good fortune comes their way, they say, “This is from Allah.”",مِنۡ
2:49,,وَإِذۡ نَجَّيۡنَٰكُم مِّنۡ ءَالِ فِرۡعَوۡنَ,And recall that We delivered you from the people of Pharaoh.,مِّنۡ
,,إِلَى,(to)wards,
2:85,,وَيَوۡمَ ٱلۡقِيَٰمَةِ يُرَدُّونَ إِلَىٰٓ أَشَدِّ ٱلۡعَذَابِۗ,"And on the Day of Resurrection, they will be assigned to the most severe torment.",إِلَىٰٓ
2:142,,يَهۡدِي مَن يَشَآءُ إِلَىٰ صِرَٰطٖ مُّسۡتَقِيمٖ ,He guides whom He wills to a straight path.,إِلَىٰ
,,حَتَّى,Until,
2:196,,وَلَا تَحۡلِقُواْ رُءُوسَكُمۡ حَتَّىٰ يَبۡلُغَ ٱلۡهَدۡيُ مَحِلَّهُۥ,And do not shave your heads until the offering has reached its destination.,حَتَّىٰ
3:92,,لَن تَنَالُواْ ٱلۡبِرَّ حَتَّىٰ تُنفِقُواْ مِمَّا تُحِبُّونَۚ,Never will you attain the good [reward] until you spend [in the way of Allah] from that which you love.,حَتَّىٰ
,,عَلَى,On/ upon/ over,
2:260,,ثُمَّ ٱجۡعَلۡ عَلَىٰ كُلِّ جَبَلٖ مِّنۡهُنَّ جُزۡءٗا,Then [after slaughtering them] put on each hill a portion of them;,عَلَىٰ
3:97,,وَلِلَّهِ عَلَى ٱلنَّاسِ حِجُّ ٱلۡبَيۡتِ مَنِ ٱسۡتَطَاعَ إِلَيۡهِ سَبِيلٗاۚ,Pilgrimage to the House is a duty to Allah on all who can make the journey.,عَلَى
3:98,,وَٱللَّهُ شَهِيدٌ عَلَىٰ مَا تَعۡمَلُونَ ,“When Allah is a witness over what you do?”,عَلَىٰ
,,مَعَ,With,
3:193,,رَبَّنَا فَٱغۡفِرۡ لَنَا ذُنُوبَنَا وَكَفِّرۡ عَنَّا سَيِّـَٔاتِنَا وَتَوَفَّنَا مَعَ ٱلۡأَبۡرَارِ,"Our Lord, so forgive us our sins and remove from us our misdeeds and cause us to die with the righteous.",مَعَ
5:83,,رَبَّنَآ ءَامَنَّا فَٱكۡتُبۡنَا مَعَ ٱلشَّٰهِدِينَ ,"therefore, record us among the witnesses of the truth.”",مَعَ
,,وَ,And/ by (swear by),
"95:1,2",,وَٱلتِّينِ وَٱلزَّيۡتُونِ ١ وَطُورِ سِينِينَ ٢,"By the fig and the olive, (1) And [by] Mount Sinai,",وَ
95:6,,إِلَّا ٱلَّذِينَ ءَامَنُواْ وَعَمِلُواْ ٱلصَّٰلِحَٰتِ,Except those who accepted faith and did good deeds –,وَ
,67,إِنَّ,Verily/ truly,
2:20,,إِنَّ ٱللَّهَ عَلَىٰ كُلِّ شَيۡءٖ قَدِيرٞ,Verily Allah is Able to do all things.,إِنَّ
2:26,,إِنَّ ٱللَّهَ لَا يَسۡتَحۡيِۦٓ أَن يَضۡرِبَ مَثَلٗا مَّا بَعُوضَةٗ فَمَا فَوۡقَهَاۚ,"Verily, Allah is not ashamed to set forth a parable even of a mosquito or so much more when it is bigger than it.",إِنَّ
,68,أَنَّ,That (+nouns),
2:77,,أَوَلَا يَعۡلَمُونَ أَنَّ ٱللَّهَ يَعۡلَمُ مَا يُسِرُّونَ وَمَا يُعۡلِنُونَ ,Do they not know that Allah knows what they conceal and what they reveal?,أَنَّ
2:106,,أَلَمۡ تَعۡلَمۡ أَنَّ ٱللَّهَ عَلَىٰ كُلِّ شَيۡءٖ قَدِيرٌ ,Do you not know that Allah is capable of all things?,أَنَّ
,69,إِنۡ,If,
2:137,,فَإِنۡ ءَامَنُواْ بِمِثۡلِ مَآ ءَامَنتُم بِهِۦ فَقَدِ ٱهۡتَدَواْۖ,"So if they believe in the same as you believe in, then they have been [rightly] guided;",فَإِنۡ
5:17,,فَمَن يَمۡلِكُ مِنَ ٱللَّهِ شَيۡـًٔا إِنۡ أَرَادَ أَن يُهۡلِكَ ٱلۡمَسِيحَ,"“Then who could prevent Allah at all if He had intended to destroy Christ, the son of Mary,”",إِنۡ
,,لَئِن,If,
5:28,,لَئِنۢ بَسَطتَ إِلَيَّ يَدَكَ لِتَقۡتُلَنِي مَآ أَنَا۠ بِبَاسِطٖ يَدِيَ إِلَيۡكَ لِأَقۡتُلَكَۖ,"“If you extend your hand to kill me, I will not extend my hand to kill you;",لَئِنۢ
,71,أَنۡ,to (in order to)/That (+verbs),
5:31,,قَالَ يَٰوَيۡلَتَىٰٓ أَعَجَزۡتُ أَنۡ أَكُونَ مِثۡلَ هَٰذَا ٱلۡغُرَابِ,"He said, “O woe to me! Have I failed to be like this crow-?”",أَنۡ
5:116,,قَالَ سُبۡحَٰنَكَ مَا يَكُونُ لِيٓ أَنۡ أَقُولَ مَا لَيۡسَ لِي بِحَقٍّۚ,"He will say, “Glory be to You! It is not for me to say what I have no right to.",أَنۡ
,,كأَنَّ,As if,
31:7,,وَلَّىٰ مُسۡتَكۡبِرٗا كَأَن لَّمۡ يَسۡمَعۡهَا كَأَنَّ فِيٓ أُذُنَيۡهِ وَقۡرٗاۖ,"he turns away in pride, as though he did not hear them, as though there is deafness in his ears.",كَأَن 
7:171,,وَإِذۡ نَتَقۡنَا ٱلۡجَبَلَ فَوۡقَهُمۡ كَأَنَّهُۥ ظُلَّةٞ,And [mention] when We raised the mountain above them as if it was a dark cloud,كَأَنَّهُۥ
,,لَكِن,But,
2:12,,أَلَآ إِنَّهُمۡ هُمُ ٱلۡمُفۡسِدُونَ وَلَٰكِن لَّا يَشۡعُرُونَ ,"In fact, it is they who are the corrupters, but they are not aware.",لَٰكِن
2:243,,إِنَّ ٱللَّهَ لَذُو فَضۡلٍ عَلَى ٱلنَّاسِ وَلَٰكِنَّ أَكۡثَرَ ٱلنَّاسِ لَا يَشۡكُرُونَ ,"Verily, Allah is Gracious towards the people, but most people are not appreciative.",لَٰكِنَّ
,,لَمَّا,When,
2:259,,فَلَمَّا تَبَيَّنَ لَهُۥ قَالَ أَعۡلَمُ أَنَّ ٱللَّهَ عَلَىٰ كُلِّ شَيۡءٖ قَدِيرٞ,"So when it became clear to him, he said, “I know that Allah has power over all things.”",فَلَمَّا
6:5,,فَقَدۡ كَذَّبُواْ بِٱلۡحَقِّ لَمَّا جَآءَهُمۡ,They denied the truth when it has come to them;,لَمَّا
,,لَوۡ,If,
2:20,,وَلَوۡ شَآءَ ٱللَّهُ لَذَهَبَ بِسَمۡعِهِمۡ وَأَبۡصَٰرِهِمۡۚ,"And if Allah had willed, He could have taken away their hearing and their sight.",لَوۡ
6:9,,وَلَوۡ جَعَلۡنَٰهُ مَلَكٗا لَّجَعَلۡنَٰهُ رَجُلٗا,"And if We had made him an angel, We would have made him a man,",لَوۡ
,76,لَوۡلَا ,But for/ why not,
2:64,,فَلَوۡلَا فَضۡلُ ٱللَّهِ عَلَيۡكُمۡ وَرَحۡمَتُهُۥ لَكُنتُم مِّنَ ٱلۡخَٰسِرِينَ ,"And Were it not for Allah’s grace and mercy towards you, you would have been among the losers.",فَلَوۡلَا
2:251,,وَلَوۡلَا دَفۡعُ ٱللَّهِ ٱلنَّاسَ بَعۡضَهُم بِبَعۡضٖ لَّفَسَدَتِ ٱلۡأَرۡضُ,"And if it were not for Allah checking [some] people by means of others, the earth would have been corrupted,",لَوۡلَا
,77,لَوۡلَا ,why .. not,
47:20,,وَيَقُولُ ٱلَّذِينَ ءَامَنُواْ لَوۡلَا نُزِّلَتۡ سُورَةٞۖ,"Those who believe say, ""Why has a surah not been sent down?",لَوۡلَا
,,قَبۡل (مِنۡ) ,Before,
2:108,,أَمۡ تُرِيدُونَ أَن تَسۡـَٔلُواْ رَسُولَكُمۡ كَمَا سُئِلَ مُوسَىٰ مِن قَبۡلُۗ,Or do you want to question your Messenger as Moses was questioned before?,مِن قَبۡلُۗ
20:130,,وَسَبِّحۡ بِحَمۡدِ رَبِّكَ قَبۡلَ طُلُوعِ ٱلشَّمۡسِ وَقَبۡلَ غُرُوبِهَاۖ,"And exalt [Allah] with praise of your Lord before the rising of the sun, and before its setting.",قَبۡلَ
,,(مِنۡ) بَعۡد,After,
2:51,,ثُمَّ ٱتَّخَذۡتُمُ ٱلۡعِجۡلَ مِنۢ بَعۡدِهِۦ وَأَنتُمۡ ظَٰلِمُونَ ,"Then you took [for worship] the calf after him, while you were wrongdoers.", مِنۢ بَعۡدِهِ
2:120,,وَلَئِنِ ٱتَّبَعۡتَ أَهۡوَآءَهُم بَعۡدَ ٱلَّذِي جَآءَكَ مِنَ ٱلۡعِلۡمِ,"And if you should follow their inclinations after what has come to you of knowledge,",بَعۡدَ
,,إِذۡ,When (for past),
2:51,,وَ إِذۡ وَٰعَدۡنَا مُوسَىٰٓ أَرۡبَعِينَ لَيۡلَةٗ ثُمَّ ٱتَّخَذۡتُمُ ٱلۡعِجۡلَ مِنۢ بَعۡدِهِۦ,"And recall when We appointed for Moses forty nights. Then you took [for worship] the calf after him,",إِذۡ
2:125,,وَ إِذۡ جَعَلۡنَا ٱلۡبَيۡتَ مَثَابَةٗ لِّلنَّاسِ وَأَمۡنٗا,"And when We made the House a place of return for the people,",إِذۡ
,,إِذَا,When,
2:156,,ٱلَّذِينَ إِذَآ أَصَٰبَتۡهُم مُّصِيبَةٞ قَالُوٓاْ إِنَّا لِلَّهِ وَإِنَّآ إِلَيۡهِ رَٰجِعُونَ,"Those who, when a calamity afflicts them, say, “To Allah we belong, and to Him we will return.”",إِذَآ
2:186,,وَ إِذَا سَأَلَكَ عِبَادِي عَنِّي فَإِنِّي قَرِيبٌۖ,"And when My servants ask you about Me, I Am near;",إِذَا
,,ثُمَّ,(for present/future),
2:51,,وَإِذۡ وَٰعَدۡنَا مُوسَىٰٓ أَرۡبَعِينَ لَيۡلَةٗ ثُمَّ ٱتَّخَذۡتُمُ ٱلۡعِجۡلَ مِنۢ بَعۡدِهِۦ,"And recall when We appointed for Moses forty nights. Then you took [for worship] the calf after him,",ثُمَّ
2:259,,فَأَمَاتَهُ ٱللَّهُ مِاْئَةَ عَامٖ ثُمَّ بَعَثَهُۥۖ,So Allah caused him to die for a hundred years; then He revived him.,ثُمَّ
,,فَــ,Then (directly after)/so,
2:259,,قَالَ أَنَّىٰ يُحۡيِۦ هَٰذِهِ ٱللَّهُ بَعۡدَ مَوۡتِهَاۖ فَأَمَاتَهُ ٱللَّهُ مِاْئَةَ عَامٖ,"He said, “How can Allah revive this after its demise?” So Allah caused him to die for a hundred years;",فَأَمَاتَهُ
2:260,,قَالَ فَخُذۡ أَرۡبَعَةٗ مِّنَ ٱلطَّيۡرِ,"He said, “Then take four birds,…”",فَخُذۡ
,,ذُو ,Of (belonging to),
2:105,,وَٱللَّهُ يَخۡتَصُّ بِرَحۡمَتِهِۦ مَن يَشَآءُۚ وَٱللَّهُ ذُو ٱلۡفَضۡلِ ٱلۡعَظِيمِ ,But Allah chooses for His mercy whomever He wills. Allah is Possessor of Sublime Grace.,ذُو
,, ذَا ,Of (belonging to),
17:26,,وَءَاتِ ذَا ٱلۡقُرۡبَىٰ حَقَّهُۥ وَٱلۡمِسۡكِينَ وَٱبۡنَ ٱلسَّبِيلِ,"And give those of kinship his rights, and the poor, and the wayfarer,",ذَا
,,ذِي,Of (belonging to),
17:42,,إِذٗا لَّٱبۡتَغَوۡاْ إِلَىٰ ذِي ٱلۡعَرۡشِ سَبِيلٗا ,they would have sought a way to the Lord of the Throne.,ذِي
,,ذَات,Of (belonging to),
23:50,,وَءَاوَيۡنَٰهُمَآ إِلَىٰ رَبۡوَةٖ ذَاتِ قَرَارٖ وَمَعِينٖ ,and We sheltered them on high ground with security and flowing springs.,ذَاتِ
,,أُولُواْ ,Of (belonging to),
24:22,,وَلَا يَأۡتَلِ أُوْلُواْ ٱلۡفَضۡلِ مِنكُمۡ وَٱلسَّعَةِ أَن يُؤۡتُوٓاْ ,Those of you who have affluence and means should not refuse to give,أُوْلُواْ
,,أُولِي,Of (belonging to),
24:22,,أَن يُؤۡتُوٓاْ أُوْلِي ٱلۡقُرۡبَىٰ وَٱلۡمَسَٰكِينَ وَٱلۡمُهَٰجِرِينَ فِي سَبِيلِ ٱللَّهِۖ,"to give to the relatives, and the needy, and the emigrants for the sake of Allah.",أُوْلِي ٱلۡقُرۡبَىٰ 
,,أَهۡل,Family/ People of,
2:105,,مَّا يَوَدُّ ٱلَّذِينَ كَفَرُواْ مِنۡ أَهۡلِ ٱلۡكِتَٰبِ وَلَا ٱلۡمُشۡرِكِينَ,"It is never the wish of the disbelievers from among the People of the Book, nor of the polytheists,",أَهۡلِ
4:35,,وَإِنۡ خِفۡتُمۡ شِقَاقَ بَيۡنِهِمَا فَٱبۡعَثُواْ حَكَمٗا مِّنۡ أَهۡلِهِۦ وَحَكَمٗا مِّنۡ أَهۡلِهَآ,"If you fear a breach between the two, appoint an arbiter from his family and an arbiter from her family.",أَهۡلِهِۦ ، أَهۡلِهَآ
,,ءَالِ,Family/ people of,
2:49,,وَإِذۡ نَجَّيۡنَٰكُم مِّنۡ ءَالِ فِرۡعَوۡنَ يَسُومُونَكُمۡ سُوٓءَ ٱلۡعَذَابِ,"And recall when We delivered you from the people of Pharaoh. They inflicted on you terrible persecution,",ءَالِ
12:6,,وَيُتِمُّ نِعۡمَتَهُۥ عَلَيۡكَ وَعَلَىٰٓ ءَالِ يَعۡقُوبَ كَمَآ أَتَمَّهَا,"and will complete His blessing upon you and upon the family of Jacob,",ءَالِ
,92,أَلَا ,Lo!,
13:28,,أَلَا بِذِكۡرِ ٱللَّهِ تَطۡمَئِنُّ ٱلۡقُلُوبُ ,Lo! in the remembrance of Allah hearts do find rest.,أَلَا
,93,أَلَا ,Will/ do .. not ?,
16:59,,أَيُمۡسِكُهُۥ عَلَىٰ هُونٍ أَمۡ يَدُسُّهُۥ فِي ٱلتُّرَابِۗ أَلَا سَآءَ مَا يَحۡكُمُونَ ,"shall he keep it with ignominy or bury it in the dust! Unquestionably, vile is that which they judge!",أَلَا
24:22,,أَلَا تُحِبُّونَ أَن يَغۡفِرَ ٱللَّهُ لَكُمۡۚ,Do you not love for Allah to pardon you?,أَلَا
,,نِعۡمَ,What a good … !,
38:44,,إِنَّا وَجَدۡنَٰهُ صَابِرٗاۚ نِّعۡمَ ٱلۡعَبۡدُ إِنَّهُۥٓ أَوَّابٞ ,We found him patient. What an excellent servant! He was obedient.,نِّعۡمَ
37:75,,وَلَقَدۡ نَادَىٰنَا نُوحٞ فَلَنِعۡمَ ٱلۡمُجِيبُونَ ,"And Noah called out to Us, and We are the Best of responders.",فَلَنِعۡمَ
,,بِئۡسَ,What a foul/ bad ..!,
2:126,,ثُمَّ أَضۡطَرُّهُۥٓ إِلَىٰ عَذَابِ ٱلنَّارِۖ وَبِئۡسَ ٱلۡمَصِيرُ ,then I will consign him to the punishment of the Fire; how miserable the destiny!”,وَبِئۡسَ
2:206,,فَحَسۡبُهُۥ جَهَنَّمُۖ وَلَبِئۡسَ ٱلۡمِهَادُ ,"Sufficient for him is Hellfire, and how wretched is the resting place.",وَلَبِئۡسَ
,96, مِثۡل,Like,
2:228,,وَلَهُنَّ مِثۡلُ ٱلَّذِي عَلَيۡهِنَّ بِٱلۡمَعۡرُوفِۚ,"And due to the wives is similar to what is expected of them, according to what is reasonable.",مِثۡلُ
,97,مَثَل ,Example,
2:17,,مَثَلُهُمۡ كَمَثَلِ ٱلَّذِي ٱسۡتَوۡقَدَ نَارٗا فَلَمَّآ أَضَآءَتۡ مَا حَوۡلَهُۥ,"Their likeness is like that of a person who kindled a fire; when it illuminated all around him,",مَثَلُهُمۡ ، كَمَثَلِ
,,أو,Or,
2:19,,أَوۡ كَصَيِّبٖ مِّنَ ٱلسَّمَآءِ فِيهِ ظُلُمَٰتٞ وَرَعۡدٞ وَبَرۡقٞ,"Or like a rainstorm from the sky, in which is darkness, and thunder, and lightning.",أَوۡ
2:74,,ثُمَّ قَسَتۡ قُلُوبُكُم مِّنۢ بَعۡدِ ذَٰلِكَ فَهِيَ كَٱلۡحِجَارَةِ أَوۡ أَشَدُّ قَسۡوَةٗۚ,"Then after that your hearts hardened. They were as rocks, or even harder.",أَوۡ
,,أم,Or ?,
2:80,,أَمۡ تَقُولُونَ عَلَى ٱللَّهِ مَا لَا تَعۡلَمُونَ ,or are you saying about Allah what you do not know?”,أَمۡ
2:108,,أَمۡ تُرِيدُونَ أَن تَسۡـَٔلُواْ رَسُولَكُمۡ كَمَا سُئِلَ مُوسَىٰ مِن قَبۡلُۗ,Or do you want to question your Messenger as Moses was questioned before?,أَمۡ
,,بَعۡض,Some/ part (of),
2:73,,فَقُلۡنَا ٱضۡرِبُوهُ بِبَعۡضِهَاۚ كَذَٰلِكَ يُحۡيِ ٱللَّهُ ٱلۡمَوۡتَىٰ,"We said, “Strike him with part of it. Thus does Allah bring the dead to life,",بِبَعۡضِهَاۚ
2:259,,قَالَ لَبِثۡتُ يَوۡمًا أَوۡ بَعۡضَ يَوۡمٖۖ,"He said, “I have tarried for a day, or part of a day.”",بَعۡضَ
,,كُل,Every/ each,
2:259,,قَالَ أَعۡلَمُ أَنَّ ٱللَّهَ عَلَىٰ كُلِّ شَيۡءٖ قَدِيرٞ ,"he said, “I know that Allah has power over all things.”",كُلِّ
2:260,,ثُمَّ ٱجۡعَلۡ عَلَىٰ كُلِّ جَبَلٖ مِّنۡهُنَّ جُزۡءٗا,"then place a part on each hill,",كُلِّ
,,لَعَلَّ,Perhaps/ may,
33:63,,وَمَا يُدۡرِيكَ لَعَلَّ ٱلسَّاعَةَ تَكُونُ قَرِيبًا,And what may make you perceive? Perhaps the Hour is near.,لَعَلَّ
3:132,,وَأَطِيعُواْ ٱللَّهَ وَٱلرَّسُولَ لَعَلَّكُمۡ تُرۡحَمُونَ ,"And obey Allah and the Messenger, that you may obtain mercy.",لَعَلَّكُمۡ
