AyahRef,Word,Meaning,Highlight
22:52,وَمَآ أَرۡسَلۡنَا مِن قَبۡلِكَ مِن رَّسُولٖ وَلَا نَبِيٍّ إِلَّآ إِذَا تَمَنَّىٰٓ أَلۡقَى ٱلشَّيۡطَٰنُ فِيٓ أُمۡنِيَّتِهِۦ,"Lord of the heavens and the earth and whatever is between them, the Exalted in Might, the Most Forgiving."" (38:66)",
,أَنۢبِيَآء / نَّبِيُّونَ / نَّبِيِّـۧنَ,Favors,أَنۢبِيَآءَ
2:91,"قُلۡ فَلِمَ تَقۡتُلُونَ أَنۢبِيَآءَ ٱللَّهِ مِن قَبۡلُ إِن كُنتُم مُّؤۡمِنِينَ "," So remember the favors of Allah that you might succeed. (7:69) ",ٱلنَّبِيُّونَ
5:44,"يَحۡكُمُ بِهَا ٱلنَّبِيُّونَ ٱلَّذِينَ أَسۡلَمُواْ لِلَّذِينَ هَادُواْ ",Then which of the favors of your Lord do you doubt? (53:55),ٱلنَّبِيِّـۧنَ
17:55,"وَلَقَدۡ فَضَّلۡنَا بَعۡضَ ٱلنَّبِيِّـۧنَ عَلَىٰ بَعۡضٖۖ ",Favor/ Bounty,
,أَمِين,"And whoever exchanges the favor of Allah [for disbelief] after it has come to him - then indeed, Allah is severe in penalty. (2:211) ",أَمِينٞ
26:107,"إِنِّي لَكُمۡ رَسُولٌ أَمِينٞ ",And remember the favor of Allah upon you and His covenant with which He bound you (5:7),أَمِينٞ
12:54,"فَلَمَّا كَلَّمَهُۥ قَالَ إِنَّكَ ٱلۡيَوۡمَ لَدَيۡنَا مَكِينٌ أَمِينٞ ",Favor/ Grace,
,نَذِير,"And if not for the favor of Allah upon you and His mercy, you would have been among the losers. (2:64) ",نَذِيرٗاۖ
2:119,"إِنَّآ أَرۡسَلۡنَٰكَ بِٱلۡحَقِّ بَشِيرٗا وَنَذِيرٗاۖ  ",and Allah is the possessor of great bounty. (2:105),ٱلنَّذِيرُ
15:89,"وَقُلۡ إِنِّيٓ أَنَا ٱلنَّذِيرُ ٱلۡمُبِينُ ",Water,
,"مُوسَىٰ ",and We send down rain therein and bring forth thereby [some] of all the fruits. (7:57),مُوسَىٰ
21:48,"وَلَقَدۡ ءَاتَيۡنَا مُوسَىٰ وَهَٰرُونَ ٱلۡفُرۡقَانَ وَضِيَآءٗ ",and made from water every living thing? Then will they not believe? (8:11),مُوسَىٰ
10:75,"ثُمَّ بَعَثۡنَا مِنۢ بَعۡدِهِم مُّوسَىٰ وَهَٰرُونَ إِلَىٰ فِرۡعَوۡنَ وَمَلَإِيْهِ ",Religion,
," هَٰرُون","Indeed, the religion in the sight of Allah is Islam. (3:19)",هَٰرُونَ
21:48,"وَلَقَدۡ ءَاتَيۡنَا مُوسَىٰ وَهَٰرُونَ ٱلۡفُرۡقَانَ وَضِيَآءٗ ",He has chosen you and has not placed upon you in the religion any difficulty. (22:78),هَٰرُونَ
10:75,"ثُمَّ بَعَثۡنَا مِنۢ بَعۡدِهِم مُّوسَىٰ وَهَٰرُونَ إِلَىٰ فِرۡعَوۡنَ وَمَلَإِيْهِ ",Matter/ Command,
,إِبۡرَٰهِـۧم (إِبۡرَٰهِيم),"when they are [meeting] with him for a matter of common interest, do not depart until they have asked his permission. (24:62) ",إِبۡرَٰهِ‍ۧمَ
2:124,وَإِذِ ٱبۡتَلَىٰٓ إِبۡرَٰهِ‍ۧمَ رَبُّهُۥ بِكَلِمَٰتٖ فَأَتَمَّهُنَّۖ,"She said, ""O eminent ones, advise me in my affair. I would not decide a matter until you witness [for] me."" (27:32)",إِبۡرَٰهِيمَ
3:3,"إِنَّ ٱللَّهَ ٱصۡطَفَىٰٓ ءَادَمَ وَنُوحٗا وَءَالَ إِبۡرَٰهِيمَ وَءَالَ عِمۡرَٰنَ "," And do not obey the order of the transgressors, (26:151)",إِبۡرَٰهِيمَ
3:84,"قُلۡ ءَامَنَّا بِٱللَّهِ وَمَآ أُنزِلَ عَلَيۡنَا وَمَآ أُنزِلَ عَلَىٰٓ إِبۡرَٰهِيمَ وَإِسۡمَٰعِيلَ ",Matters/ Affairs,
," إِسۡمَٰعِيل","and be patient over what befalls you. Indeed, [all] that is of the matters [requiring] determination. (31:17)",إِسۡمَٰعِيلَ
3:84,"قُلۡ ءَامَنَّا بِٱللَّهِ وَمَآ أُنزِلَ عَلَيۡنَا وَمَآ أُنزِلَ عَلَىٰٓ إِبۡرَٰهِيمَ وَإِسۡمَٰعِيلَ ",And to Allah will be the outcome of [all] matters. (31:22),
,نُوح,Prayer,نُوحٗا
3:33,"إِنَّ ٱللَّهَ ٱصۡطَفَىٰٓ ءَادَمَ وَنُوحٗا وَءَالَ إِبۡرَٰهِيمَ ","Who believe in the unseen, establish prayer, and spend out of what We have provided for them, (2:3)",يَٰنُوحُ
11:48,"قِيلَ يَٰنُوحُ ٱهۡبِطۡ بِسَلَٰمٖ مِّنَّا وَبَرَكَٰتٍ عَلَيۡكَ ","Say, ""Indeed, my prayer, my rites of sacrifice, my living and my dying are for Allah, Lord of the worlds. (6:162)",
,يُوسُف,(Zakah) Charity,يُوسُفُ
12:4,"إِذۡ قَالَ يُوسُفُ لِأَبِيهِ يَٰٓأَبَتِ إِنِّي رَأَيۡتُ أَحَدَ عَشَرَ كَوۡكَبٗا ",And establish prayer and give zakah and bow with those who bow [in worship and obedience]. (2:43),يُوسُفَ
12:7,"لَّقَدۡ كَانَ فِي يُوسُفَ وَإِخۡوَتِهِۦٓ ءَايَٰتٞ لِّلسَّآئِلِينَ ",o I will decree it [especially] for those who fear Me and give zakah and those who believe in Our verses - (7:156) ,
,لُوط,Truth/ Right,لُوطٍ
15:61,"فَلَمَّا جَآءَ ءَالَ لُوطٍ ٱلۡمُرۡسَلُونَ ",And among the people of Moses is a community which guides by truth and by it establishes justice. (7:159),لُوطًا
27:54,"وَلُوطًا إِذۡ قَالَ لِقَوۡمِهِۦٓ أَتَأۡتُونَ ٱلۡفَٰحِشَةَ وَأَنتُمۡ تُبۡصِرُونَ ",And among those We created is a community which guides by truth and thereby establishes justice. (7:181),
,عِيسَى ٱبۡنِ مَرۡيَم,Falsehood,"ٱلۡمَسِيحَ عِيسَى ٱبۡنَ مَرۡيَمَ "
4:157,"وَقَوۡلِهِمۡ إِنَّا قَتَلۡنَا ٱلۡمَسِيحَ عِيسَى ٱبۡنَ مَرۡيَمَ رَسُولَ ٱللَّهِ وَمَا قَتَلُوهُ وَمَا صَلَبُوهُ  ","That He should establish the truth and abolish falsehood, even if the criminals disliked it. (8:8)",ٱلۡمَسِيحَ ٱبۡنَ مَرۡيَم
5:17,"قُلۡ فَمَن يَمۡلِكُ مِنَ ٱللَّهِ شَيۡـًٔا إِنۡ أَرَادَ أَن يُهۡلِكَ ٱلۡمَسِيحَ ٱبۡنَ مَرۡيَمَ ","And say, ""Truth has come, and falsehood has departed. Indeed is falsehood, [by nature], ever bound to depart."" (17:81)",
,ءَادَم,Praise,ءَادَمَ
2:31,"وَعَلَّمَ ءَادَمَ ٱلۡأَسۡمَآءَ كُلَّهَا ثُمَّ عَرَضَهُمۡ عَلَى ٱلۡمَلَٰٓئِكَةِ ","[All] praise is [due] to Allah, Lord of the worlds - (1:2)",ءَادَمُ
2:37,"فَتَلَقَّىٰٓ ءَادَمُ مِن رَّبِّهِۦ كَلِمَٰتٖ فَتَابَ عَلَيۡهِۚ ", So exalt [Allah] with praise of your Lord and be of those who prostrate [to Him]. (15:98),
,سُلَيۡمَٰن,Wisdom,سُلَيۡمَٰنُ
2:102,"وَمَا كَفَرَ سُلَيۡمَٰنُ وَلَٰكِنَّ ٱلشَّيَٰطِينَ كَفَرُواْ "," and David killed Goliath, and Allah gave him the kingship and prophethood and taught him from that which He willed. (2:251)",سُلَيۡمَٰنَ
6:84,"وَمِن ذُرِّيَّتِهِۦ دَاوُۥدَ وَسُلَيۡمَٰنَ وَأَيُّوبَ وَيُوسُفَ وَمُوسَىٰ وَهَٰرُونَۚ ","He gives wisdom to whom He wills, and whoever has been given wisdom has certainly been given much good. (2:269)",
,إِسۡحَٰق,Piety/ Fear of Allah,بِإِسۡحَٰقَ
11:71,"وَٱمۡرَأَتُهُۥ قَآئِمَةٞ فَضَحِكَتۡ فَبَشَّرۡنَٰهَا بِإِسۡحَٰقَ وَمِن وَرَآءِ إِسۡحَٰقَ يَعۡقُوبَ "," And cooperate in righteousness and piety, but do not cooperate in sin and aggression. (5:2)",
," يَعۡقُوب ","And take provisions, but indeed, the best provision is fear of Allah. (2:197)",يَعۡقُوبَ
11:71,"وَٱمۡرَأَتُهُۥ قَآئِمَةٞ فَضَحِكَتۡ فَبَشَّرۡنَٰهَا بِإِسۡحَٰقَ وَمِن وَرَآءِ إِسۡحَٰقَ يَعۡقُوبَ ",Witness / Martyr,
,إِسۡرَٰٓءِيل,And thus we have made you a just community that you will be witnesses over the people and the Messenger will be a witness over you. (2:143),إِسۡرَٰٓءِيلَ
17:2,"وَءَاتَيۡنَا مُوسَى ٱلۡكِتَٰبَ وَجَعَلۡنَٰهُ هُدٗى لِّبَنِيٓ إِسۡرَٰٓءِيلَ "," Indeed Allah is ever, over all things, a Witness. (4:33)",
,دَاوُۥد,Witnesses,دَاوُۥدَ
17:55,"وَلَقَدۡ فَضَّلۡنَا بَعۡضَ ٱلنَّبِيِّـۧنَ عَلَىٰ بَعۡضٖۖ وَءَاتَيۡنَا دَاوُۥدَ زَبُورٗا ",And thus we have made you a just community that you will be witnesses over the people and the Messenger will be a witness over you. (2:143),دَاوُۥدُ
2:251,"فَهَزَمُوهُم بِإِذۡنِ ٱللَّهِ وَقَتَلَ دَاوُۥدُ جَالُوتَ ",Martyrs,
,زَكَرِيا,so that Allah may make evident those who believe and [may] take to Himself from among you martyrs - and Allah does not like the wrongdoers (3:140),زَكَرِيَّآ
19:2,"ذِكۡرُ رَحۡمَتِ رَبِّكَ عَبۡدَهُۥ زَكَرِيَّآ ",Clear,
,يَحۡيَىٰ,"and do not follow the footsteps of Satan. Indeed, he is to you a clear enemy. (2:208)",
19:7,"يَٰزَكَرِيَّآ إِنَّا نُبَشِّرُكَ بِغُلَٰمٍ ٱسۡمُهُۥ يَحۡيَىٰ ","Indeed, the disbelievers are ever to you a clear enemy. (4:101)",
,أَيُّوب,Light,أَيُّوبَ
21:83,"وَأَيُّوبَ إِذۡ نَادَىٰ رَبَّهُۥٓ أَنِّي مَسَّنِيَ ٱلضُّرُّ وَأَنتَ أَرۡحَمُ ٱلرَّٰحِمِينَ ",There has come to you from Allah a light and a clear Book. (5:15),
,يُونُس (ذَا ٱلنُّون),"Indeed, We sent down the Torah, in which was guidance and light. (5:44)",يُونُسَ
37:139,"وَإِنَّ يُونُسَ لَمِنَ ٱلۡمُرۡسَلِينَ ",Peace,ذَا ٱلنُّونِ
21:87,"وَذَا ٱلنُّونِ إِذ ذَّهَبَ مُغَٰضِبٗا فَظَنَّ أَن لَّن نَّقۡدِرَ عَلَيۡهِ ","And when those come to you who believe in Our verses, say, ""Peace be upon you. (6:54) ",
,شُعَيۡب (مَدۡيَن), By which Allah guides those who pursue His pleasure to the ways of peace (5:16),شُعَيۡبٗاۚ
7:85,"وَإِلَىٰ مَدۡيَنَ أَخَاهُمۡ شُعَيۡبٗاۚ قَالَ يَٰقَوۡمِ ٱعۡبُدُواْ ٱللَّهَ ",Dominion/ Reign,
,صَٰلِح (ثَمُود),And to Allah belongs the dominion of the heavens and the earth and whatever is between them. (5:17),صَٰلِحٗاۚ
11:61,"وَإِلَىٰ ثَمُودَ أَخَاهُمۡ صَٰلِحٗاۚ قَالَ يَٰقَوۡمِ ٱعۡبُدُواْ ٱللَّهَ ","And David killed Goliath, and Allah gave him the kingship and prophethood (2:251)",
,هُود (عَاد),Authority/ Warrant/ Proof,هُودٗاۚ
11:50,"وَإِلَىٰ عَادٍ أَخَاهُمۡ هُودٗاۚ قَالَ يَٰقَوۡمِ ٱعۡبُدُواْ ٱللَّهَ "," And those - We have made for you against them a clear authorization. (4:91)",
,"ءَاية ",Authority,ءَايَةٍ
10:97,"وَلَوۡ جَآءَتۡهُمۡ كُلُّ ءَايَةٍ حَتَّىٰ يَرَوُاْ ٱلۡعَذَابَ ٱلۡأَلِيمَ ",And they worship besides Allah that for which He has not sent down authority (22:71),
,ءَايات,god/ deity,ءَايَٰتِۭ
2:99,"وَلَقَدۡ أَنزَلۡنَآ إِلَيۡكَ ءَايَٰتِۭ بَيِّنَٰتٖۖ "," Allah - there is no deity except Him, the Ever-Living, the Sustainer of existence. (3:2)",
,ٱلۡقُرۡءَان," They said, ""We will worship your God and the God of your fathers, Abraham and Ishmael and Isaac - one God. (2:133)",ٱلۡقُرۡءَانِۚ
9:111,"وَعۡدًا عَلَيۡهِ حَقّٗا فِي ٱلتَّوۡرَىٰةِ وَٱلۡإِنجِيلِ وَٱلۡقُرۡءَانِۚ ",deities,ٱلۡقُرۡءَانُ
2:185,"شَهۡرُ رَمَضَانَ ٱلَّذِيٓ أُنزِلَ فِيهِ ٱلۡقُرۡءَانُ هُدٗى لِّلنَّاسِ ","Do you [truly] testify that there are other deities with Allah?"" Say, ""I will not testify [with you]. (6:19)",
,ٱلۡإِنجِيل,One,ٱلۡإِنجِيلِ
5:47,"وَلۡيَحۡكُمۡ أَهۡلُ ٱلۡإِنجِيلِ بِمَآ أَنزَلَ ٱللَّهُ فِيهِۚ "," They said, ""We will worship your God and the God of your fathers, Abraham and Ishmael and Isaac - one God. (2:133) ",ٱلۡإِنجِيلِ
9:111,"وَعۡدًا عَلَيۡهِ حَقّٗا فِي ٱلتَّوۡرَىٰةِ وَٱلۡإِنجِيلِ وَٱلۡقُرۡءَانِۚ ",And they were not commanded except to worship one God; (9:31),
,ٱلتَّوۡرَىٰة,One,ٱلتَّوۡرَىٰةَ
5:66,"وَلَوۡ أَنَّهُمۡ أَقَامُواْ ٱلتَّوۡرَىٰةَ وَٱلۡإِنجِيلَ وَمَآ أُنزِلَ إِلَيۡهِم ","Say, ""He is Allah, [who is] One, (112:1)",ٱلتَّوۡرَىٰةِ
9:111,"وَعۡدًا عَلَيۡهِ حَقّٗا فِي ٱلتَّوۡرَىٰةِ وَٱلۡإِنجِيلِ وَٱلۡقُرۡءَانِۚ "," Anyone",
,أَنۡعَام,[Allah praises] those who convey the messages of Allah and fear Him and do not fear anyone but Allah. (33:39),ٱلۡأَنۡعَٰمَ
16:5,وَٱلۡأَنۡعَٰمَ خَلَقَهَاۖ لَكُمۡ فِيهَا دِفۡءٞ وَمَنَٰفِع,Associate/ partner,كَٱلۡأَنۡعَٰمِ
25:44,أُوْلَٰٓئِكَ كَٱلۡأَنۡعَٰمِ بَلۡ هُمۡ أَضَلُّۚ,"Say, ""Indeed, my prayer, my rites of sacrifice, my living and my dying are for Allah, Lord of the worlds. (162) No partner has He. (6:163)",
,جَبَل,Associate(s)/ partner(s),ٱلۡجَبَلَ
7:171,"وَإِذۡ نَتَقۡنَا ٱلۡجَبَلَ فَوۡقَهُمۡ كَأَنَّهُۥ ظُلَّةٞ ","But when He gives them a good [child], they ascribe partners to Him concerning that which He has given them. (7:190)",
,جِبَال,"But they have attributed to Allah partners - the jinn, while He has created them (6:100)",ٱلۡجِبَالِ
20:105,"وَيَسۡـَٔلُونَكَ عَنِ ٱلۡجِبَالِ فَقُلۡ يَنسِفُهَا رَبِّي نَسۡفٗا ",Unseen,
,بَـحۡر,"And if I knew the unseen, I could have acquired much wealth, and no harm would have touched me. (7:188)",ٱلۡبَحۡرِ
22:65,"وَٱلۡفُلۡكَ تَجۡرِي فِي ٱلۡبَحۡرِ بِأَمۡرِهِ ","He said, ""Did I not tell you that I know the unseen [aspects] of the heavens and the earth? (2:33)",ٱلۡبَحۡرَيۡنِ
25:53,"وَهُوَ ٱلَّذِي مَرَجَ ٱلۡبَحۡرَيۡنِ هَٰذَا عَذۡبٞ فُرَاتٞ وَهَٰذَا مِلۡحٌ أُجَاجٞ ",Witnessed (visible),
,نَهَر,"Then you will be returned to the Knower of the unseen and the witnessed, and He will inform you about what you used to do."" (62:8)",نَهَرٗا
18:33,"كِلۡتَا ٱلۡجَنَّتَيۡنِ ءَاتَتۡ أُكُلَهَا وَلَمۡ تَظۡلِم مِّنۡهُ شَيۡـٔٗاۚ وَفَجَّرۡنَا خِلَٰلَهُمَا نَهَرٗا ","[He is] Knower of the unseen and the witnessed, the Grand, the Exalted. (13:9) ",
,أَنۡهَٰر,Throne,نَهَرٖ
54:54,"إِنَّ ٱلۡمُتَّقِينَ فِي جَنَّٰتٖ وَنَهَرٖ ",The Most Merciful [who is] above the Throne established. (20:5) ,
,شَمۡس,"there is no deity except Him. On Him I have relied, and He is the Lord of the Great Throne."" (9:129)",ٱلشَّمۡسِ
17:78,"أَقِمِ ٱلصَّلَوٰةَ لِدُلُوكِ ٱلشَّمۡسِ إِلَىٰ غَسَقِ ٱلَّيۡلِ ",Book,
,قَمَر," This is the Book about which there is no doubt, a guidance for those conscious of Allah - (2:2)",ٱلۡقَمَرَۖ
21:33,"وَهُوَ ٱلَّذِي خَلَقَ ٱلَّيۡلَ وَٱلنَّهَارَ وَٱلشَّمۡسَ وَٱلۡقَمَرَۖ ","And recite, [O Muhammad], what has been revealed to you of the Book of your Lord. (18:27)",ٱلۡقَمَرَ
36:39,"وَٱلۡقَمَرَ قَدَّرۡنَٰهُ مَنَازِلَ حَتَّىٰ عَادَ كَٱلۡعُرۡجُونِ ٱلۡقَدِيمِ ",Books,
,لَيۡل,All of them have believed in Allah and His angels and His books and His messengers (2:285),ٱلَّيۡلُ
36:37,"وَءَايَةٞ لَّهُمُ ٱلَّيۡلُ نَسۡلَخُ مِنۡهُ ٱلنَّهَارَ فَإِذَا هُم مُّظۡلِمُونَ ",Word,ٱلَّيۡلُ
36:40,"لَا ٱلشَّمۡسُ يَنۢبَغِي لَهَآ أَن تُدۡرِكَ ٱلۡقَمَرَ وَلَا ٱلَّيۡلُ سَابِقُ ٱلنَّهَارِۚ ",They swear by Allah that they did not say [anything against the Prophet] while they had said the word of disbelief and disbelieved (9:74) ,
,نَهَار,"""O Mary, indeed Allah gives you good tidings of a word from Him, whose name will be the Messiah, Jesus, the son of Mary - (3:45)
Words
 No change is there in the words of Allah. That is what is the great attainment. (10:64)
Angel
And they say, ""Why was there not sent down to him an angel?"" (6:8)",ٱلنَّهَارَ
36:37,"وَءَايَةٞ لَّهُمُ ٱلَّيۡلُ نَسۡلَخُ مِنۡهُ ٱلنَّهَارَ فَإِذَا هُم مُّظۡلِمُونَ ",Angels,ٱلنَّهَارِۚ
36:40,"لَا ٱلشَّمۡسُ يَنۢبَغِي لَهَآ أَن تُدۡرِكَ ٱلۡقَمَرَ وَلَا ٱلَّيۡلُ سَابِقُ ٱلنَّهَارِۚ "," And [mention] when We said to the angels, ""Prostrate to Adam,"" and they prostrated, except for Iblees. (18:50) ",
,أَرۡض,Covenant/ Pledge,ٱلۡأَرۡضِ
26:24,"رَّبُّ ٱلسَّمَٰوَٰتِ وَٱلۡأَرۡضِ وَمَا بَيۡنَهُمَا ",Who break the covenant of Allah after contracting it and sever that which Allah has ordered to be joined (2:27),ٱلۡأَرۡضِ
38:26,"يَٰدَاوُۥدُ إِنَّا جَعَلۡنَٰكَ خَلِيفَةٗ فِي ٱلۡأَرۡضِ ","and fulfill My covenant [upon you] that I will fulfill your covenant [from Me], and be afraid of [only] Me. (2:40) ",
,سَمَآء,Covenant,ٱلسَّمَآءَ
38:27,"وَمَا خَلَقۡنَا ٱلسَّمَآءَ وَٱلۡأَرۡضَ وَمَا بَيۡنَهُمَا بَٰطِلٗاۚ ","And [recall] when We took the covenant from the Children of Israel, [enjoining upon them], ""Do not worship except Allah; (2:83)",
,سَمَٰوَٰت,"And [recall] when We took your covenant, [saying], ""Do not shed each other's blood or evict one another (2:84) ",ٱلسَّمَٰوَٰتِ
38:66,"رَبُّ ٱلسَّمَٰوَٰتِ وَٱلۡأَرۡضِ وَمَا بَيۡنَهُمَا ٱلۡعَزِيزُ ٱلۡغَفَّٰرُ ",Permission,
,ءَالَآء,But they do not harm anyone through it except by permission of Allah. (2:102),ءَالَآءَ
7:69,"فَٱذۡكُرُوٓاْ ءَالَآءَ ٱللَّهِ لَعَلَّكُمۡ تُفۡلِحُونَ ","So they defeated them by permission of Allah, and David killed Goliath, (2:251)",ءَالَآءِ
53:55,"فَبِأَيِّ ءَالَآءِ رَبِّكَ تَتَمَارَىٰ ",Satan (Devil),
,نِعۡمَة,"Satan threatens you with poverty and orders you to immorality, (2:268)",نِعۡمَةَ
2:211,"وَمَن يُبَدِّلۡ نِعۡمَةَ ٱللَّهِ مِنۢ بَعۡدِ مَا جَآءَتۡهُ فَإِنَّ ٱللَّهَ شَدِيدُ ٱلۡعِقَابِ ",Satan (Devils),نِعۡمَةَ
5:7,"وَٱذۡكُرُواْ نِعۡمَةَ ٱللَّهِ عَلَيۡكُمۡ وَمِيثَٰقَهُ ٱلَّذِي وَاثَقَكُم بِه ","And thus We have made for every prophet an enemy - devils from mankind and jinn, (6:112)",
,فَضۡل,Deed/ action,فَضۡلُ
2:64,"فَلَوۡلَا فَضۡلُ ٱللَّهِ عَلَيۡكُمۡ وَرَحۡمَتُهُۥ لَكُنتُم مِّنَ ٱلۡخَٰسِرِينَ ","Indeed, Allah does not amend the work of corrupters. (10:81)",ٱلۡفَضۡلِ
2:105,"وَٱللَّهُ ذُو ٱلۡفَضۡلِ ٱلۡعَظِيمِ ",Deeds/ actions,
,مَآء,"and they have [evil] deeds besides disbelief which they are doing, (23:63)",ٱلۡمَآءَ
7:57,"فَأَنزَلۡنَا بِهِ ٱلۡمَآءَ فَأَخۡرَجۡنَا بِهِۦ مِن كُلِّ ٱلثَّمَرَٰتِۚ ",Good/ Good deed(s),ٱلۡمَآءِ
8:11,"وَجَعَلۡنَا مِنَ ٱلۡمَآءِ كُلَّ شَيۡءٍ حَيٍّۚ أَفَلَا يُؤۡمِنُونَ ","What comes to you of good is from Allah, but what comes to you of evil, [O man], is from yourself. (4:79)",
,دِين,Good/ Good deed(s),ٱلدِّينَ
3:19,"إِنَّ ٱلدِّينَ عِندَ ٱللَّهِ ٱلۡإِسۡلَٰمُۗ ","Indeed, good deeds do away with misdeeds. (11:114)",ٱلدِّينِ
22:78,"هُوَ ٱجۡتَبَىٰكُمۡ وَمَا جَعَلَ عَلَيۡكُمۡ فِي ٱلدِّينِ مِنۡ حَرَجٖۚ  ",Bad/ misdeed/ sin,
,أَمۡر,"and if evil befalls them, they say, ""This is from you."" (4:78)",أَمۡرٖ
24:62,"وَإِذَا كَانُواْ مَعَهُۥ عَلَىٰٓ أَمۡرٖ جَامِعٖ لَّمۡ يَذۡهَبُواْ حَتَّىٰ يَسۡتَـٔۡذِنُوهُ ۚ ",Bad/ misdees/ sins,أَمۡرِي ، أَمۡرًا
27:32,"يَٰٓأَيُّهَا ٱلۡمَلَؤُاْ أَفۡتُونِي فِيٓ أَمۡرِي مَا كُنتُ قَاطِعَةً أَمۡرًا حَتَّىٰ تَشۡهَدُونِ ","But repentance is not [accepted] of those who [continue to] do evil deeds up until, when death comes to one of them, (4:18)",أَمۡرَ
26:151,"وَلَا تُطِيعُوٓاْ أَمۡرَ ٱلۡمُسۡرِفِينَ ",Good,
,أُمُور,"""My Lord, indeed I am, for whatever good You would send down to me, in need."" (28:24)",ٱلۡأُمُورِ
31:17,"وَٱصۡبِرۡ عَلَىٰ مَآ أَصَابَكَۖ إِنَّ ذَٰلِكَ مِنۡ عَزۡمِ ٱلۡأُمُورِ ","Indeed, the best one you can hire is the strong and the trustworthy."" (28:26)",ٱلۡأُمُورِ
31:22,"وَإِلَى ٱللَّهِ عَٰقِبَةُ ٱلۡأُمُورِ ",Evil/ Worst,
,صَلَوٰة /صَلَاة,"This [is so]. But indeed, for the transgressors is an evil place of return - (38:55)",ٱلصَّلَوٰةَ
2:3,"ٱلَّذِينَ يُؤۡمِنُونَ بِٱلۡغَيۡبِ وَيُقِيمُونَ ٱلصَّلَوٰةَ وَمِمَّا رَزَقۡنَٰهُمۡ يُنفِقُونَ ","Indeed, the worst of living creatures in the sight of Allah are the deaf and dumb who do not use reason. (8:22)",صَلَاتِي
6:162,"قُلۡ إِنَّ صَلَاتِي وَنُسُكِي وَمَحۡيَايَ وَمَمَاتِي لِلَّهِ رَبِّ ٱلۡعَٰلَمِينَ ",Sin,
,زَّكَوٰة,Then whoever hastens [his departure] in two days - there is no sin upon him; and whoever delays [until the third] - there is no sin upon him - (2:203),ٱلزَّكَوٰةَ
2:43,وَأَقِيمُواْ ٱلصَّلَوٰةَ وَءَاتُواْ ٱلزَّكَوٰةَ وَٱرۡكَعُواْ مَعَ ٱلرَّٰكِعِينَ,"And when it is said to him, ""Fear Allah,"" pride in the sin takes hold of him. (2:206)",ٱلزَّكَوٰةَ
7:156,"فَسَأَكۡتُبُهَا لِلَّذِينَ يَتَّقُونَ وَيُؤۡتُونَ ٱلزَّكَوٰةَ وَٱلَّذِينَ هُم بِـَٔايَٰتِنَا يُؤۡمِنُونَ ",Sin,
,حَقّ," The forgiver of sin, acceptor of repentance, severe in punishment, owner of abundance. (40:3)",بِٱلۡحَقِّ
7:159,"وَمِن قَوۡمِ مُوسَىٰٓ أُمَّةٞ يَهۡدُونَ بِٱلۡحَقِّ وَبِهِۦ يَعۡدِلُونَ ",Sins,بِٱلۡحَقِّ
7:181,"وَمِمَّنۡ خَلَقۡنَآ أُمَّةٞ يَهۡدُونَ بِٱلۡحَقِّ وَبِهِۦ يَعۡدِلُونَ ","Those who say, ""Our Lord, indeed we have believed, so forgive us our sins and protect us from the punishment of the Fire,"" (3:16)",
,بَٰطِل,Blame,ٱلۡبَٰطِلَ
8:8,"لِيُحِقَّ ٱلۡحَقَّ وَيُبۡطِلَ ٱلۡبَٰطِلَ وَلَوۡ كَرِهَ ٱلۡمُجۡرِمُونَ ",There is no blame upon you for seeking bounty from your Lord [during Hajj]. (2:198),ٱلۡبَٰطِلَ
17:81,"وَقُلۡ جَآءَ ٱلۡحَقُّ وَزَهَقَ ٱلۡبَٰطِلُۚ إِنَّ ٱلۡبَٰطِلَ كَانَ زَهُوقٗا ",And any that you desire of those [wives] from whom you had [temporarily] separated - there is no blame upon you [in returning her]. (33:51),
,حَمۡد,Unlawful (forbidden),ٱلۡحَمۡدُ
1:2,"ٱلۡحَمۡدُ لِلَّهِ رَبِّ ٱلۡعَٰلَمِينَ ","And do not say about what your tongues assert of untruth, ""This is lawful and this is unlawful,"" to invent falsehood about Allah. (16:116)",بِحَمۡدِ
15:98,"فَسَبِّحۡ بِحَمۡدِ رَبِّكَ وَكُن مِّنَ ٱلسَّٰجِدِينَ ",Permissible (halal),
,حِكۡمَة,"And do not say about what your tongues assert of untruth, ""This is lawful and this is unlawful,"" to invent falsehood about Allah. (16:116)",ٱلۡحِكۡمَةَ
2:251,"وَقَتَلَ دَاوُۥدُ جَالُوتَ وَءَاتَىٰهُ ٱللَّهُ ٱلۡمُلۡكَ وَٱلۡحِكۡمَةَ وَعَلَّمَهُۥ مِمَّا يَشَآءُۗ  ",eat from whatever is on earth [that is] lawful and good and do not follow the footsteps of Satan. (2:168),ٱلۡحِكۡمَةَ
2:269,"يُؤۡتِي ٱلۡحِكۡمَةَ مَن يَشَآءُۚ وَمَن يُؤۡتَ ٱلۡحِكۡمَةَ فَقَدۡ أُوتِيَ خَيۡرٗا كَثِيرٗاۗ ",Conversation/ Discourse,
,تَقۡوى,so do not sit with them until they enter into another conversation. (4:140),ٱلتَّقۡوَىٰۖ
